new_Bore_ID,Easting,Northing,Aquifer,Depth_mbgl,Depth_mAHD,13C,13C_err,pMC,pMC_err,calc_err,rand_err,CFC11,CFC11_err,CFC12,CFC12_err,CFC113,CFC113_err,Trit,Trit_err
MB01_All,36967,8350,Alluvium,49.5,407.86,-12.15,0.2,70.18,0.23,0.421428571,2.8859,-999,-999,221,26,32.1,5.7,0.08,0.02
MB01_CID,36967,8350,CID,118.5,338.77,-13.18,0.2,59.94,0.21,0.372380952,2.5611,-999,-999,146,13,27.7,4.9,0.05,0.02
MB01_BID,36967,8350,BID,219.5,237.73,-12.47,0.2,34.75,0.19,0.406190476,1.4322,-999,-999,430,36,57.9,7.15,0.29,0.02
MB02_All1,35062,8214,Alluvium,24.5,433.53,-11.39,0.2,65.18,0.22,0.457619048,2.608595576,-999,-999,-999,-999,-999,-999,0.06,0.02
MB02_All2,35062,8214,Alluvium,55.5,403.07,-17.26,0.2,90.21,0.28,0.178095238,4.27191901,-999,-999,136,18,10.7,3.2,0.16,0.02
MB02_CID,35062,8214,CID,107,351.54,-11.73,0.2,60.54,0.22,0.441428571,2.341700937,-999,-999,389,33,36.6,5.6,0.15,0.02
MB03_All,34361,7770,Alluvium,37,423.25,-10.19,0.2,92.06,0.28,0.514761905,3.74810206,-999,-999,390,35,41.4,5.6,0.02,0.01
MB03_CID,34361,7770,CID,75.5,384.69,-12.72,0.2,65.4,0.22,0.394285714,2.710154183,-999,-999,271,25,36.3,5.2,0.19,0.02
MB03_BID,34361,7770,BID,96,364.27,-12.44,0.2,37.85,0.2,0.407619048,1.536486903,-999,-999,38.7,5.4,13.2,4.5,0.01,0.01
MB04_All,33949,7346,Alluvium,46,423.03,-12.13,0.2,47.85,0.21,0.422380952,1.916345895,-999,-999,26.8,7,-999,-999,0.04,0.01
MB04_CID,33949,7346,CID,86.5,382.59,-11.61,0.2,39.49,0.2,0.447142857,1.656607343,-999,-999,38.7,9.45,-999,-999,0.07,0.01
MB04_BID,33949,7346,BID,149,320.02,-10.62,0.2,14.82,0.2,0.494285714,0.604317841,-999,-999,56.75,6.65,18.1,4.9,0,0.01
MB05_All,35246,7347,Alluvium,34,427.85,-9.78,0.2,58.37,0.22,0.534285714,2.309457127,-999,-999,-999,-999,-999,-999,0.24,0.02
MB05_CID,35246,7347,CID,101.5,360.35,-14.26,0.2,83.52,0.27,0.320952381,3.571153991,-999,-999,513,46,69.6,8.7,0.28,0.02
MB05_BID,35246,7347,BID,223,238.85,-12.03,0.2,24.44,0.2,0.427142857,1.010457762,-999,-999,67.35,9.75,8.85,4.25,0.01,0.02
MB06_All,38343,6787,Alluvium,26.5,433.84,-10.39,0.2,67.27,0.24,0.505238095,2.639996312,-999,-999,300,23,37.1,5.2,0.05,0.02
MB06_CID,38343,6787,CID,70.5,389.84,-11.47,0.2,61.17,0.23,0.453809524,2.472888213,-999,-999,46.45,9.8,-999,-999,0.14,0.02
MB06_BID,38343,6787,BID,181.5,278.84,-11.53,0.2,60.42,0.22,0.450952381,2.420589894,-999,-999,290,34.5,14.1,4.65,0.11,0.02
MB07_CID,35395,11390,CID,79,372.03,-12.54,0.2,47.91,0.21,0.402857143,1.980472544,-999,-999,36.4,5.5,8.3,3.5,0,0.02
MB07_Dol1,35395,11390,Dolomite,126,324.96,-12.53,0.2,51.04,0.22,0.403333333,2.069519441,-999,-999,55.3,6.1,11.1,3.4,0,0.01
MB07_Dol2,35395,11390,Dolomite,158,292.99,-12.2,0.2,44.22,0.21,0.419047619,1.788396792,-999,-999,40.25,5,11.4,3.2,0,0.02
MB08_All,35824,14194,Alluvium,30,413.64,-20.74,0.2,77.63,0.27,0.012380952,4.31624477,-999,-999,-999,-999,-999,-999,0.13,0.02
MB08_Dol,35824,14194,Dolomite,206,237.66,-7.36,0.2,1.9,0.21,0.64952381,0.111429105,-999,-999,137.5,12.5,3,7.8,0,0.02
MB09_All,39858,12399,Alluvium,38,405.82,-10.15,0.2,41.5,0.2,0.516666667,1.629400999,-999,-999,-999,-999,-999,-999,0,0.02
MB10_Dol,46693,9918,Dolomite,99,340.58,-11.02,0.2,50.92,0.22,0.475238095,2.109091273,-999,-999,21.5,9,-999,-999,0,0.02
MB11_All,47647,15513,Alluvium,28,402.15,-9.49,0.2,61.23,0.23,0.548095238,2.44585377,-999,-999,31.8,12.6,-999,-999,0,0.02
MB12_All1,36374,8585,Alluvium,30,427.36,-12.09,0.2,99.31,0.31,0.424285714,4.027517949,-999,-999,428,53,47.7,8.1,0.57,0.02
MB12_All2,36374,8585,Alluvium,51,406.36,-14.6,0.2,78.55,0.26,0.304761905,3.427787914,-999,-999,-999,-999,-999,-999,0.05,0.02
MB12_CID,36374,8585,CID,81,376.36,-12.24,0.2,83.55,0.27,0.417142857,3.562583097,-999,-999,521,46,34.85,6.25,0.29,0.02
MB13_All,38168,6469,Alluvium,34,426.34,-9.81,0.2,77.21,0.26,0.532857143,3.138690881,-999,-999,391.5,34,41.4,6.6,0.08,0.02
MB13_CID,38168,6469,CID,80,380.34,-12.03,0.2,59.57,0.22,0.427142857,2.421309548,-999,-999,215,19,21,4.7,0.11,0.02
MB14_All,42597,17680,Alluvium,30,396.1,-10.19,0.2,40.65,0.2,0.514761905,1.656832362,-999,-999,151,17,19.1,4.8,0.005,0.015
MB15_All,50983,19601,Alluvium,26.5,399.5,-10.32,0.2,25.96,0.19,0.508571429,1.036165746,-999,-999,52.9,7.3,13.5,6.6,0.005,0.015
MB15_BID,50983,19601,BID,53,373,-8.95,0.2,2.43,0.21,0.573809524,0.138830186,-999,-999,63.2,8.5,21.2,10.2,0.012,0.014
MB17_All,50580,13447,Alluvium,26.5,429.04,-10.31,0.2,30.07,0.2,0.509047619,1.224539869,-999,-999,214.85,47,30.7,8.7,0,0.014
